company_id,industry
90985,industrial machinery manufacturing
1725692,wholesale
74722833,staffing and recruiting
8363,real estate
101396860,it services and it consulting
28126191,it services and it consulting
4594437,motor vehicle manufacturing
3631283,civil engineering
163885,media production
311752,law practice
34310,environmental services
122451,staffing and recruiting
272414,retail
62101,banking
9025,education administration programs
1494955,it services and it consulting
12192,retail
162570,law enforcement
30160523,advertising services
89551968,staffing and recruiting
35585529,higher education
73845708,human resources services
11471407,construction
164848,government administration
1681,staffing and recruiting
4440,financial services
22113,software development
46201,automation machinery manufacturing
232394,staffing and recruiting
2240218,staffing and recruiting
21337,hospitals and health care
80354,plastics manufacturing
6083,retail apparel and fashion
162510,research services
10201130,human resources services
81297771,staffing and recruiting
74097,staffing and recruiting
280666,non-profit organizations
219963,government administration
3776,advertising services
20507081,chemical manufacturing
116025,oil and gas
2150532,machinery manufacturing
164131,staffing and recruiting
68818843,wholesale
52176410,staffing and recruiting
74075477,staffing and recruiting
36411,pharmaceutical manufacturing
73836834,financial services
544277,it services and it consulting
2979375,government relations services
3256390,"appliances, electrical, and electronics manufacturing"
5328,retail
7041911,law practice
91423287,software development
16057060,spectator sports
887799,machinery manufacturing
27189203,law practice
619425,individual and family services
5343,food and beverage services
132319,staffing and recruiting
2090,motor vehicle manufacturing
2753,industrial machinery manufacturing
17962594,hospitals and health care
15085131,restaurants
11963,law practice
71575605,truck transportation
31162076,public relations and communications services
2043953,staffing and recruiting
2849719,hospitals and health care
33264,real estate
331509,staffing and recruiting
4564,hospitals and health care
100274477,staffing and recruiting
24157,financial services
5348965,medical equipment manufacturing
33338,hospitals and health care
5345313,it services and it consulting
22134,it services and it consulting
2030200,software development
229433,software development
65588154,staffing and recruiting
14377562,information services
34414,airlines and aviation
309222,staffing and recruiting
3626487,pharmaceutical manufacturing
82284641,construction
1996803,truck transportation
388449,banking
11022780,musicians
79383535,it services and it consulting
781738,advertising services
53369792,mental health care
349330,government administration
2160548,software development
3714038,financial services
51584508,real estate
379775,financial services
27096316,financial services
164590,machinery manufacturing
110859,defense and space manufacturing
20911,financial services
68229923,staffing and recruiting
18444862,retail
99224110,staffing and recruiting
28132344,"appliances, electrical, and electronics manufacturing"
16096,hospitals and health care
14476,it services and it consulting
16182,hospitals and health care
2061386,armed forces
74892224,construction
1040738,staffing and recruiting
13655403,human resources services
15695384,machinery manufacturing
10080,retail
16726,retail apparel and fashion
33307792,it services and it consulting
15876051,construction
15505005,government administration
145785,construction
14023910,financial services
12787,law enforcement
48171,biotechnology research
103172637,architecture and planning
3475,wholesale building materials
166572,retail
27198557,manufacturing
80298050,hospitals and health care
2610,"appliances, electrical, and electronics manufacturing"
3042775,staffing and recruiting
2238,food and beverage manufacturing
